Name, Statistic, p_value, Statistic_x, Statistic_sgn, Statistic_diff, Significant
G038.7-37.3-241, 0.2074738871132492, 3.5194997048780594e-09, -3.515687526708854, -1, 2.5503785393572116, True
G038.8-33.2-261, 0.31066825775656326, 1.3943532792837091e-08, -0.6963302660734451, -1, 1.245611675868496, True
G043.4-30.4-230, 0.24109469074986317, 3.606854288675973e-11, -1.2589038059025925, -1, 2.2846397376409495, True
G089.0-64.7-311, 0.3738140417457306, 0.015075834341180974, -3.5031459148744912, 1, -2.4420848538134305, False
G133.5-75.6-294, 0.46130268199233715, 4.570648166268751e-08, -1.0081759072724916, -1, 1.7746068755102902, True
G248.9+36.8+181, 0.08070447918650822, 0.452664079053446, -2.5040967925547646, -1, 0.5189262304682574, False
G261.5-34.5+237, 0.2889454915944982, 5.960798790546759e-08, -5.487954609053061, -1, 7.064597943499491, True
G262.4-26.2+143, 0.21329644533869885, 1.2224926075128765e-06, 2.0255699650566523, -1, 5.008552948039634, True
G264.6-53.3+224, 0.3195887445887446, 4.0730287570954555e-05, 0.9062634882158793, 1, -2.1167595348071426, True
G267.1-38.4+263, 0.3428488020518381, 2.318648482161409e-11, 12.715164074377505, -1, 9.411860771074203, True
G271.6-48.4+297, 0.12493061782161308, 5.0905622111774864e-05, 0.6348560731135152, -1, 0.5747960130534552, True
G271.7-53.1+254, 0.22697520500279825, 0.0003403465863955054, 0.11625707523884121, 1, -2.3862454272636606, True
G282.3-38.3+117, 0.277823006349348, 8.58037227199818e-27, -1.2426193078764725, 1, -3.4648415300986937, True
G298.0-81.7+127, 0.3912087912087912, 0.3650943759236951, -0.32122628572356143, -1, 0.6197146552173791, False
G323.0+25.6+122, 0.09850367024280068, 0.015086808841105354, 1.963713871853483, -1, 0.8225727307123423, False
