Name, Statistic, p_value, Statistic_x, Statistic_sgn, Statistic_diff, Significant, Sigma[meas], Sigma[obsv], Sigma[true], Sigma[diff], FWHM, Average[inner], Average[outer], Average[diff], AvgUnc[inner], AvgUnc[outer], AvgUnc[diff], KSunc, Sigmaunc
G038.7-37.3-241, 0.2074738871132492, 3.5194997048780594e-09, -3.515687526708854, -1, 2.5503785393572116, True, 1.5490103064419392, 3.259633374868092, 2.8680615072014404, -1.2004037875138898, -2.82673490096878, -1.3506194176296213, -2.560210571743284, 1.2095911541136628, 0.007003852876365774, 0.0032940466469477043, 0.007739812557552317, 2.1815601020063724, 0.39584818265424776
G038.8-33.2-261, 0.31066825775656326, 1.3943532792837091e-08, -0.6963302660734451, -1, 1.245611675868496, True, 1.0172162310775188, 2.2736826533710723, 2.033446322742001, -0.3820916381721009, -0.8997570486063758, -0.056445222198439816, -1.1991611171284744, 1.1427158949300344, 0.010148842996047043, 0.0006398107274504492, 0.010168990703377291, 1.4553771530792659, 0.3247352108401835
G043.4-30.4-230, 0.24109469074986317, 3.606854288675973e-11, -1.2589038059025925, -1, 2.2846397376409495, True, 1.3692498776485982, 3.4139391636197307, 3.1273207998949974, -0.3219533860094135, -0.7581422869405536, 1.500776660653911, 0.052073639648805965, 1.448703021005105, 0.007129552203987939, 0.002050088534124988, 0.007418448464951416, 2.014296014920469, 0.20428798707875953
G261.5-34.5+237, 0.2889454915944982, 5.960798790546759e-08, -5.487954609053061, -1, 7.064597943499491, True, 8.363070544185819, 12.507923833010205, 9.300925205879048, 5.8850039182248, 13.858125191721438, -3.620108937244275, -7.837450117500442, 4.217341180256167, 0.4686915287204748, 0.13939402347543306, 0.4889810250664184, 11.798096482827903, 1.5115424552737302
G262.4-26.2+143, 0.21329644533869885, 1.2224926075128765e-06, 2.0255699650566523, -1, 5.008552948039634, True, 5.0791565705667105, 9.744382180123484, 8.315957708164293, -11.277167064796421, -26.555699055345446, 4.0206400164297795, 0.17353602031256268, 3.8471039961172173, 0.11708586076209412, 0.0424759648413749, 0.12455242422211704, 7.193251686060157, 8.325305008340273
G264.6-53.3+224, 0.3195887445887446, 4.0730287570954555e-05, 0.9062634882158793, 1, -2.1167595348071426, True, 3.023390368905306, 4.983729795251348, 3.9619027435421326, 0.16014564072012671, 0.377114164892079, 0.8210758855823943, 2.499888949334954, -1.67881306375256, 0.16176219741916012, 0.013152603813846201, 0.1622960242919072, 4.269997743503358, 1.6315589302445745
G267.1-38.4+263, 0.3428488020518381, 2.318648482161409e-11, 12.715164074377505, -1, 9.411860771074203, True, 6.459354538810761, 13.975229335809928, 12.392892072895142, 3.764226145036, 8.86407518036035, 3.935691120510584, 0.5967725854698486, 3.3389185350407353, 0.2785684550874129, 0.034675044112350076, 0.2807182624162194, 8.557843765816393, 1.6623926332614178
G271.6-48.4+297, 0.12493061782161308, 5.0905622111774864e-05, 0.6348560731135152, -1, 0.5747960130534552, True, 1.656313599761247, 3.0167700520864895, 2.5214136523807156, 0.14031802939919347, 0.33042370830846285, 1.0438949513719682, 0.9506817070694712, 0.09321324430249706, 0.004907414793746411, 0.003332420455528648, 0.005931925998384243, 2.360885532203072, 0.3029318711354087
G271.7-53.1+254, 0.22697520500279825, 0.0003403465863955054, 0.11625707523884121, 1, -2.3862454272636606, True, 3.238101358605643, 6.206104031068475, 5.294376907232867, -0.6047436349837891, -1.4240624337647063, 1.4552097774993904, 1.9595738303089552, -0.5043640528095649, 0.09698678376448278, 0.02527784255573244, 0.10022677062168041, 4.605857104115553, 1.1265402301204932
G282.3-38.3+117, 0.277823006349348, 8.58037227199818e-27, -1.2426193078764725, 1, -3.4648415300986937, True, 4.440559986447358, 6.711461315863094, 5.032408966001214, -1.9662738656700256, -4.630221112900268, -3.5925312924892405, -0.9148853822952732, -2.6776459101939674, 0.03965139483683959, 0.007828831318331808, 0.04041687410374338, 6.278841551975273, 0.4601800929005239
